"city","state","country","geographykey","customerkey","customername","commutedistance"
"Milsons Point","New South Wales","Australia",9,21176,"Raul L Chande","0-1 Miles"
"Caloundra","Queensland","Australia",21,21177,"Kara S Nath","0-1 Miles"
"Gold Coast","Queensland","Australia",23,21178,"Jillian Saunders","0-1 Miles"
"Brisbane","Queensland","Australia",20,21179,"Jaclyn C Zhou","0-1 Miles"
"Sunbury","Victoria","Australia",39,21180,"Katherine Flores","0-1 Miles"
"Darlinghurst","New South Wales","Australia",3,21181,"Summer E Sullivan","2-5 Miles"
"Findon","South Australia","Australia",29,21182,"Lori Navarro","5-10 Miles"
"Brisbane","Queensland","Australia",20,21183,"Hector Moreno","10+ Miles"
"Findon","South Australia","Australia",29,21184,"Harold M Rodriguez","5-10 Miles"
"Springwood","New South Wales","Australia",16,21185,"Gilbert J Jai","1-2 Miles"
"Brisbane","Queensland","Australia",20,21186,"Randall Z Vazquez","5-10 Miles"
"Springwood","New South Wales","Australia",16,21187,"Darrell J Luo","0-1 Miles"
"Bendigo","Victoria","Australia",32,21188,"Clifford Sanchez","5-10 Miles"
"Caloundra","Queensland","Australia",21,21189,"Desiree D Rubio","5-10 Miles"
"East Brisbane","Queensland","Australia",22,21190,"Pablo Rovira Diez","5-10 Miles"
"Rhodes","New South Wales","Australia",14,21191,"Willie Lu","0-1 Miles"
"North Ryde","New South Wales","Australia",11,21192,"Regina Sai","5-10 Miles"
"North Ryde","New South Wales","Australia",11,21193,"Philip Hernandez","5-10 Miles"
"St. Leonards","New South Wales","Australia",17,21194,"Tara Nara","0-1 Miles"
"Seaford","Victoria","Australia",37,21195,"Rafael N Xu","0-1 Miles"
"Sydney","New South Wales","Australia",18,21196,"Kathleen Alonso","5-10 Miles"
"Hawthorne","Queensland","Australia",24,21197,"Sheena D Pal","5-10 Miles"
"Cranbourne","Victoria","Australia",33,21198,"Madison J Williams","5-10 Miles"
"Malabar","New South Wales","Australia",7,21199,"Ruth L Raman","5-10 Miles"
"Gold Coast","Queensland","Australia",23,21200,"Alison Kumar","5-10 Miles"
"Goulburn","New South Wales","Australia",4,21201,"Anna Rogers","1-2 Miles"
"Geelong","Victoria","Australia",34,21202,"Theresa Torres","2-5 Miles"
"Gold Coast","Queensland","Australia",23,21203,"Mary Allen","2-5 Miles"
"Melton","Victoria","Australia",36,21204,"Candice I Lu","5-10 Miles"
"Silverwater","New South Wales","Australia",15,21205,"Denise L Vance","1-2 Miles"
"Perth","South Australia","Australia",30,21206,"Roberto R Moreno","5-10 Miles"
"Hervey Bay","Queensland","Australia",25,21207,"Vincent D Li","5-10 Miles"
"Sunbury","Victoria","Australia",39,21208,"Olivia Griffin","5-10 Miles"
"Gold Coast","Queensland","Australia",23,21209,"Randall F Moreno","5-10 Miles"
"Silverwater","New South Wales","Australia",15,21210,"Colin L Luo","1-2 Miles"
"Goulburn","New South Wales","Australia",4,21211,"Louis E He","5-10 Miles"
"Hervey Bay","Queensland","Australia",25,21212,"Nicolas D Lal","5-10 Miles"
"Hervey Bay","Queensland","Australia",25,21213,"Peter E Black","5-10 Miles"
"Matraville","New South Wales","Australia",8,21214,"Corey T She","5-10 Miles"
"Wollongong","New South Wales","Australia",19,21215,"Tiffany K Yang","5-10 Miles"
"Bendigo","Victoria","Australia",32,21216,"Larry E Blanco","1-2 Miles"
"Cloverdale","South Australia","Australia",28,21217,"Casey Xie","2-5 Miles"
"Caloundra","Queensland","Australia",21,21218,"Wyatt D Rodriguez","5-10 Miles"
"Geelong","Victoria","Australia",34,21219,"Candice S Zhu","5-10 Miles"
"St. Leonards","New South Wales","Australia",17,21220,"Meghan Moyer","5-10 Miles"
"Darlinghurst","New South Wales","Australia",3,21221,"Martin L Sai","5-10 Miles"
"East Brisbane","Queensland","Australia",22,21222,"Kelvin K Xu","0-1 Miles"
"Rhodes","New South Wales","Australia",14,21223,"Evelyn A Suri","10+ Miles"
"Townsville","Queensland","Australia",27,21224,"Jamie S Alan","1-2 Miles"
"Newcastle","New South Wales","Australia",10,21225,"Michele E Jai","2-5 Miles"
"North Ryde","New South Wales","Australia",11,21226,"Dale L Nara","0-1 Miles"
"Caloundra","Queensland","Australia",21,21227,"Melanie Morgan","5-10 Miles"
"Bendigo","Victoria","Australia",32,21228,"Cassidy Henderson","5-10 Miles"
"Caloundra","Queensland","Australia",21,21229,"Latoya S Jai","5-10 Miles"
"Caloundra","Queensland","Australia",21,21230,"Carla V Rodriguez","0-1 Miles"
"Hawthorne","Queensland","Australia",24,21231,"Christine A Goel","0-1 Miles"
"Matraville","New South Wales","Australia",8,21232,"Levi G Garcia","5-10 Miles"
"San Carlos","California","United States",358,21233,"Christopher E Smith","0-1 Miles"
"Coronado","California","United States",312,21234,"Brianna A Rivera","5-10 Miles"
"Bellflower","California","United States",298,21235,"Stephanie V Hernandez","0-1 Miles"
"Port Orchard","Washington","United States",632,21236,"Adrian J Peterson","5-10 Miles"
"Newport Beach","California","United States",345,21237,"Luke Washington","5-10 Miles"
"Cliffside","British Columbia","Canada",49,21238,"Carl Tang","0-1 Miles"
"Perth","South Australia","Australia",30,21239,"Christy I Liang","0-1 Miles"
"Torrance","California","United States",374,21240,"Aaron Jenkins","5-10 Miles"
"Woodburn","Oregon","United States",553,21241,"Carson L Griffin","5-10 Miles"
"San Carlos","California","United States",358,21242,"Morgan M Patterson","5-10 Miles"
"Torrance","California","United States",374,21243,"Juan M Bailey","0-1 Miles"
"Glendale","California","United States",325,21244,"Allison E Torres","5-10 Miles"
"Los Angeles","California","United States",338,21245,"Samantha E Rodriguez","0-1 Miles"
"Burbank","California","United States",301,21246,"Samuel Nelson","0-1 Miles"
"Sedro Woolley","Washington","United States",638,21247,"Alex E Sanders","5-10 Miles"
"Gold Coast","Queensland","Australia",23,21248,"Ramon Li","5-10 Miles"
"Columbus","Ohio","United States",526,21249,"Alvin Xu","0-1 Miles"
"Lebanon","Oregon","United States",543,21250,"Fernando E Coleman","5-10 Miles"
"Cliffside","British Columbia","Canada",49,21251,"Erika C Dominguez","5-10 Miles"
"Metchosin","British Columbia","Canada",53,21252,"Luis G Chen","5-10 Miles"
"Everett","Washington","United States",616,21253,"Victoria Williams","0-1 Miles"
"Geelong","Victoria","Australia",34,21254,"Tonya M Black","5-10 Miles"
"Bendigo","Victoria","Australia",32,21255,"Martha R Lu","0-1 Miles"
"Lavender Bay","New South Wales","Australia",6,21256,"Meghan I Torres","0-1 Miles"
"Rockhampton","Queensland","Australia",26,21257,"Evelyn S Subram","0-1 Miles"
"Matraville","New South Wales","Australia",8,21258,"Alfredo Serrano","5-10 Miles"
"Wollongong","New South Wales","Australia",19,21259,"Curtis Cai","5-10 Miles"
"Port Orchard","Washington","United States",632,21260,"Ariana A Howard","5-10 Miles"
"Santa Cruz","California","United States",368,21261,"Jessica Kelly","5-10 Miles"
"Spring Valley","California","United States",372,21262,"Sara R Edwards","1-2 Miles"
"Cliffside","British Columbia","Canada",49,21263,"Gail L Russell","5-10 Miles"
"Redmond","Washington","United States",634,21264,"Caleb Butler","5-10 Miles"
"Burlingame","California","United States",302,21265,"Richard D Stone","5-10 Miles"
"N. Vancouver","British Columbia","Canada",54,21266,"Taylor Washington","1-2 Miles"
"Port Orchard","Washington","United States",632,21267,"Charles Parker","1-2 Miles"
"Burlingame","California","United States",302,21268,"Elizabeth S Lewis","1-2 Miles"
"Berkeley","California","United States",299,21269,"Blake Clark","1-2 Miles"
"Seattle","Washington","United States",637,21270,"Daniel Jackson","5-10 Miles"
"Oakland","California","United States",348,21271,"Thomas Wang","0-1 Miles"
"Port Hammond","British Columbia","Canada",60,21272,"Nicole L Ward","1-2 Miles"
"Olympia","Washington","United States",631,21273,"Jennifer Thomas","1-2 Miles"
"Novato","California","United States",347,21274,"Seth Scott","5-10 Miles"
"Novato","California","United States",347,21275,"Abigail Cox","5-10 Miles"
"Metchosin","British Columbia","Canada",53,21276,"Ian Coleman","5-10 Miles"
"Shawnee","British Columbia","Canada",64,21277,"Lucas O Thompson","5-10 Miles"
"Beaverton","Oregon","United States",536,21278,"Julia C King","5-10 Miles"
"Seaford","Victoria","Australia",37,21279,"Linda R. Rousey","5-10 Miles"
"Burien","Washington","United States",612,21280,"Justin J Walker","1-2 Miles"
"Chula Vista","California","United States",307,21281,"Andrea Hill","1-2 Miles"
"Fremont","California","United States",322,21282,"Julia Smith","5-10 Miles"
"Townsville","Queensland","Australia",27,21283,"Orlando M Jiménez","5-10 Miles"
"Shawnee","British Columbia","Canada",65,21284,"Cody A Stewart","0-1 Miles"
"Corvallis","Oregon","United States",539,21285,"Mackenzie Rivera","10+ Miles"
"Beverly Hills","California","United States",300,21286,"Luke J. Roy","5-10 Miles"
"Chula Vista","California","United States",307,21287,"Kendra Jimenez","5-10 Miles"
"Palo Alto","California","United States",352,21288,"Hunter Hall","1-2 Miles"
"Burien","Washington","United States",612,21289,"Warren A Wang","5-10 Miles"
"Lake Oswego","Oregon","United States",542,21290,"Angel Torres","1-2 Miles"
"Lynnwood","Washington","United States",626,21291,"Rachel C Morris","5-10 Miles"
"W. Linn","Oregon","United States",552,21292,"Austin Martinez","1-2 Miles"
"Concord","California","United States",311,21293,"Ashley Garcia","5-10 Miles"
"Redwood City","California","United States",355,21294,"David A Foster","0-1 Miles"
"N. Vancouver","British Columbia","Canada",54,21295,"Benjamin J Thomas","5-10 Miles"
"Ballard","Washington","United States",607,21296,"Luis L Hall","1-2 Miles"
"Lake Oswego","Oregon","United States",542,21297,"Melanie L Murphy","5-10 Miles"
"Lebanon","Oregon","United States",543,21298,"Noah Collins","1-2 Miles"
"Marysville","Washington","United States",627,21299,"Hannah Gonzales","5-10 Miles"
"Fremont","California","United States",322,21300,"Kaylee Morgan","0-1 Miles"
"Corvallis","Oregon","United States",539,21301,"Sierra Gonzalez","1-2 Miles"
"Milwaukie","Oregon","United States",545,21302,"Logan F Foster","5-10 Miles"
"Torrance","California","United States",374,21303,"Sydney L Jenkins","5-10 Miles"
"Issaquah","Washington","United States",618,21304,"Jada Cooper","5-10 Miles"
"Shawnee","British Columbia","Canada",65,21305,"Hunter J Garcia","1-2 Miles"
"Langford","British Columbia","Canada",51,21306,"Jackson J Perry","5-10 Miles"
"El Cajon","California","United States",316,21307,"Olivia A Jones","1-2 Miles"
"Sooke","British Columbia","Canada",66,21308,"Kayla L Garcia","5-10 Miles"
"San Gabriel","California","United States",361,21309,"Julia Anderson","1-2 Miles"
"Los Angeles","California","United States",338,21310,"Mariah L Hayes","10+ Miles"
"Royal Oak","British Columbia","Canada",62,21311,"Jennifer E Ramirez","10+ Miles"
"Lebanon","Oregon","United States",543,21312,"Connor R Scott","1-2 Miles"
"Chula Vista","California","United States",307,21313,"Beth P Diaz","1-2 Miles"
"Sedro Woolley","Washington","United States",638,21314,"Devin E Patterson","1-2 Miles"
"Burbank","California","United States",301,21315,"Audrey Sanz","1-2 Miles"
"San Carlos","California","United States",358,21316,"John I Thompson","2-5 Miles"
"San Diego","California","United States",359,21317,"Lauren C Rivera","0-1 Miles"
"Langford","British Columbia","Canada",51,21318,"Devin G Richardson","1-2 Miles"
"Bellingham","Washington","United States",609,21319,"Zachary C Lee","5-10 Miles"
"Bellingham","Washington","United States",609,21320,"Hannah L Coleman","5-10 Miles"
"Burien","Washington","United States",612,21321,"Jon Jai","1-2 Miles"
"Lebanon","Oregon","United States",543,21322,"Carlos M Ramirez","1-2 Miles"
"Port Orchard","Washington","United States",632,21323,"Robert Jackson","5-10 Miles"
"Beverly Hills","California","United States",300,21324,"Chloe Baker","2-5 Miles"
"El Cajon","California","United States",316,21325,"Angela Hayes","2-5 Miles"
"Redwood City","California","United States",355,21326,"Andrea Green","2-5 Miles"
"Torrance","California","United States",374,21327,"Connor Washington","0-1 Miles"
"Oakland","California","United States",348,21328,"Xavier Nelson","1-2 Miles"
"Redwood City","California","United States",355,21329,"Wyatt Brown","5-10 Miles"
"Redwood City","California","United States",355,21330,"Isabella Clark","5-10 Miles"
"N. Vancouver","British Columbia","Canada",54,21331,"Timothy James","5-10 Miles"
"Langford","British Columbia","Canada",51,21332,"Bailey Carter","1-2 Miles"
"Woodburn","Oregon","United States",553,21333,"Mackenzie Allen","5-10 Miles"
"Los Angeles","California","United States",338,21334,"Mason Nelson","5-10 Miles"
"Burien","Washington","United States",612,21335,"Ana L Coleman","5-10 Miles"
"Langford","British Columbia","Canada",51,21336,"Angel S Perez","5-10 Miles"
"Bellingham","Washington","United States",609,21337,"Jennifer A Smith","5-10 Miles"
"Berkeley","California","United States",299,21338,"Victoria A Price","5-10 Miles"
"Westminster","British Columbia","Canada",70,21339,"Haley J Barnes","1-2 Miles"
"Spokane","Washington","United States",641,21340,"Adam L Wang","10+ Miles"
"Concord","California","United States",311,21341,"Louis C Liu","1-2 Miles"
"Beverly Hills","California","United States",300,21342,"Tonya S Xie","1-2 Miles"
"Burbank","California","United States",301,21343,"Colin Zeng","10+ Miles"
"Lemon Grove","California","United States",335,21344,"Trevor E Perry","1-2 Miles"
"Cliffside","British Columbia","Canada",49,21345,"Kristina S Martinez","5-10 Miles"
"Santa Cruz","California","United States",368,21346,"Christian R Rodriguez","1-2 Miles"
"Cliffside","British Columbia","Canada",49,21347,"Alisha Raji","10+ Miles"
"Langley","British Columbia","Canada",52,21348,"Alexis Patterson","1-2 Miles"
"N. Vancouver","British Columbia","Canada",54,21349,"Bryan Kelly","1-2 Miles"
"Chula Vista","California","United States",307,21350,"Mindy Sharma","10+ Miles"
"Lakewood","California","United States",334,21351,"James Coleman","10+ Miles"
"Vancouver","British Columbia","Canada",68,21352,"Morgan H Long","1-2 Miles"
"Bothell","Washington","United States",610,21353,"Karen Wu","10+ Miles"
"Langley","British Columbia","Canada",52,21354,"Morgan E Bailey","10+ Miles"
"Marysville","Washington","United States",627,21355,"Mya N Diaz","10+ Miles"
"Lemon Grove","California","United States",335,21356,"Gabriella K Evans","10+ Miles"
"Everett","Washington","United States",616,21357,"Jada Nelson","10+ Miles"
"Oakland","California","United States",348,21358,"Cody Reed","10+ Miles"
"North Sydney","New South Wales","Australia",12,21359,"Johnny Luo","1-2 Miles"
"Lavender Bay","New South Wales","Australia",6,21360,"Orlando Gill","5-10 Miles"
"Seaford","Victoria","Australia",37,21361,"Ricky Romero","1-2 Miles"
"Sunbury","Victoria","Australia",39,21362,"Angel Evans","5-10 Miles"
"Findon","South Australia","Australia",29,21363,"Tammy L Arthur","1-2 Miles"
"N. Vancouver","British Columbia","Canada",54,21364,"Charles M Gray","5-10 Miles"
"Malabar","New South Wales","Australia",7,21365,"Gloria A Ramos","5-10 Miles"
"Melton","Victoria","Australia",36,21366,"Kelvin C Andersen","5-10 Miles"
"Port Macquarie","New South Wales","Australia",13,21367,"Cindy Rana","5-10 Miles"
"Daly City","California","United States",314,21368,"Mason B Collins","5-10 Miles"
"San Diego","California","United States",359,21369,"Sarah K Rodriguez","5-10 Miles"
"Melton","Victoria","Australia",36,21370,"Emmanuel V Martinez","1-2 Miles"
"Milsons Point","New South Wales","Australia",9,21371,"Ann Patel","5-10 Miles"
"Rockhampton","Queensland","Australia",26,21372,"Wayne A Raje","5-10 Miles"
"Seaford","Victoria","Australia",37,21373,"Clayton L Liu","1-2 Miles"
"Sydney","New South Wales","Australia",18,21374,"Stacey L Zhou","5-10 Miles"
"Sydney","New South Wales","Australia",18,21375,"Carl Sharma","5-10 Miles"
"Sunbury","Victoria","Australia",39,21376,"Paula W Ramos","1-2 Miles"
"Goulburn","New South Wales","Australia",4,21377,"Allison Bailey","5-10 Miles"
"Hobart","Tasmania","Australia",31,21378,"Rebekah J Diaz","5-10 Miles"
"Goulburn","New South Wales","Australia",4,21379,"Colleen S Huang","1-2 Miles"
"Goulburn","New South Wales","Australia",4,21380,"Candace Sara","1-2 Miles"
"Silverwater","New South Wales","Australia",15,21381,"Francis D Ruiz","5-10 Miles"
"Hervey Bay","Queensland","Australia",25,21382,"Brad K Chander","5-10 Miles"
"Bendigo","Victoria","Australia",32,21383,"Ricardo Anand","1-2 Miles"
"North Sydney","New South Wales","Australia",12,21384,"Ronnie D Lin","1-2 Miles"
"Coronado","California","United States",312,21385,"Nicole Peterson","5-10 Miles"
"Fremont","California","United States",322,21386,"Abigail H Wood","5-10 Miles"
"Rockhampton","Queensland","Australia",26,21387,"Nelson C Diaz","5-10 Miles"
"Oregon City","Oregon","United States",546,21388,"Nicole Lee","0-1 Miles"
"Warrnambool","Victoria","Australia",40,21389,"Jamie Sun","1-2 Miles"
"Malabar","New South Wales","Australia",7,21390,"Grant Becker","1-2 Miles"
"Caloundra","Queensland","Australia",21,21391,"Dawn Xie","1-2 Miles"
"Rockhampton","Queensland","Australia",26,21392,"Kelli A Lin","1-2 Miles"
"Cranbourne","Victoria","Australia",33,21393,"Candace J Arun","1-2 Miles"
"Warrnambool","Victoria","Australia",40,21394,"Gabriella Parker","5-10 Miles"
"Bellingham","Washington","United States",609,21395,"Alexia M Hughes","5-10 Miles"
"Burien","Washington","United States",612,21396,"Megan Martinez","1-2 Miles"
"Olympia","Washington","United States",631,21397,"Mason D Howard","5-10 Miles"
"Spring Valley","California","United States",372,21398,"Ethan Diaz","5-10 Miles"
"Woodland Hills","California","United States",385,21399,"Ian Hughes","5-10 Miles"
"Haney","British Columbia","Canada",50,21400,"Adam A Campbell","1-2 Miles"
"Lebanon","Oregon","United States",543,21401,"Eric Powell","5-10 Miles"
"Wollongong","New South Wales","Australia",19,21402,"Kevin W King","1-2 Miles"
"Rockhampton","Queensland","Australia",26,21403,"Lisa K. Roy","1-2 Miles"
"Hervey Bay","Queensland","Australia",25,21404,"Julio H Sanz","1-2 Miles"
"Gold Coast","Queensland","Australia",23,21405,"Bonnie Shen","2-5 Miles"
"Cranbourne","Victoria","Australia",33,21406,"Troy Chandra","0-1 Miles"
"Cranbourne","Victoria","Australia",33,21407,"Wesley Lin","2-5 Miles"
"Bendigo","Victoria","Australia",32,21408,"Autumn I Chen","2-5 Miles"
"Melton","Victoria","Australia",36,21409,"Johnny Deng","2-5 Miles"
"Edmonds","Washington","United States",614,21410,"Eric Zhang","0-1 Miles"
"Lemon Grove","California","United States",335,21411,"Maria Kelly","0-1 Miles"
"Royal Oak","British Columbia","Canada",62,21412,"Jordan Alexander","5-10 Miles"
"Issaquah","Washington","United States",618,21413,"Dalton M Robinson","5-10 Miles"
"Lebanon","Oregon","United States",543,21414,"Aaron Butler","5-10 Miles"
"Redmond","Washington","United States",634,21415,"Sydney Sanchez","5-10 Miles"
"Beverly Hills","California","United States",300,21416,"Ryan A Butler","1-2 Miles"
"Burbank","California","United States",301,21417,"Gabrielle T Torres","1-2 Miles"
"Brisbane","Queensland","Australia",20,21418,"Alicia A Chapman","2-5 Miles"
"Coronado","California","United States",312,21419,"Gilbert Ma","0-1 Miles"
"Los Angeles","California","United States",338,21420,"Isabella C Carter","1-2 Miles"
"Sedro Woolley","Washington","United States",638,21421,"Ashley Ross","5-10 Miles"
"Oakland","California","United States",348,21422,"Karen Wood","2-5 Miles"
"Westminster","British Columbia","Canada",71,21423,"Connor Adams","2-5 Miles"
"El Cajon","California","United States",316,21424,"Emily L Alexander","1-2 Miles"
"National City","California","United States",343,21425,"Carlos Hall","5-10 Miles"
"Colma","California","United States",310,21426,"Jon Raje","1-2 Miles"
"Port Orchard","Washington","United States",632,21427,"Kelly Foster","5-10 Miles"
"Burien","Washington","United States",612,21428,"Jada A Brooks","5-10 Miles"
"Portland","Oregon","United States",547,21429,"Isabella D Sandberg","5-10 Miles"
"Burbank","California","United States",301,21430,"Savannah P Morgan","5-10 Miles"
"Cliffside","British Columbia","Canada",49,21431,"Preston Kapoor","2-5 Miles"
"Everett","Washington","United States",616,21432,"Melanie A Ward","2-5 Miles"
"Concord","California","United States",311,21433,"Gerald Martinez","2-5 Miles"
"San Gabriel","California","United States",361,21434,"Isabella F Smith","0-1 Miles"
"Santa Monica","California","United States",369,21435,"Connor G Alexander","0-1 Miles"
"Bremerton","Washington","United States",611,21436,"Brandi Serrano","2-5 Miles"
"Chula Vista","California","United States",307,21437,"Whitney Sara","2-5 Miles"
"Santa Cruz","California","United States",368,21438,"Edward Price","2-5 Miles"
"Redmond","Washington","United States",634,21439,"Thomas M Clark","2-5 Miles"
"Lincoln Acres","California","United States",336,21440,"Ian Morgan","2-5 Miles"
"Port Hammond","British Columbia","Canada",60,21441,"Edward Nelson","10+ Miles"
"La Jolla","California","United States",331,21442,"Savannah E Cook","10+ Miles"
"Olympia","Washington","United States",631,21443,"Zoe D Morgan","10+ Miles"
"Palo Alto","California","United States",352,21444,"Blake R Lopez","1-2 Miles"
"Bellingham","Washington","United States",609,21445,"Madeline Evans","10+ Miles"
"Vancouver","British Columbia","Canada",68,21446,"Jeremy Barnes","1-2 Miles"
"Port Hammond","British Columbia","Canada",60,21447,"Anthony Harris","10+ Miles"
"Concord","California","United States",311,21448,"Jenna D Nelson","1-2 Miles"
"Concord","California","United States",311,21449,"Devon Raheem","5-10 Miles"
"Vancouver","British Columbia","Canada",68,21450,"Nathan Bryant","1-2 Miles"
"Concord","California","United States",311,21451,"Jocelyn Ross","10+ Miles"
"Corvallis","Oregon","United States",539,21452,"Seth R Bailey","10+ Miles"
"Cliffside","British Columbia","Canada",49,21453,"Wayne Deng","1-2 Miles"
"Concord","California","United States",311,21454,"Alvin Goldstein","1-2 Miles"
"Bellingham","Washington","United States",609,21455,"Samuel E Shan","10+ Miles"
"Lebanon","Oregon","United States",543,21456,"Dalton Gonzales","10+ Miles"
"Beverly Hills","California","United States",300,21457,"Jamie Serrano","2-5 Miles"
"Lemon Grove","California","United States",335,21458,"Carson Price","2-5 Miles"
"Torrance","California","United States",374,21459,"Luis M Alexander","2-5 Miles"
"Spring Valley","California","United States",372,21460,"Jack Carter","2-5 Miles"
"Port Hammond","British Columbia","Canada",60,21461,"Elizabeth A Simmons","10+ Miles"
"Newport Beach","California","United States",345,21462,"Katelyn Nelson","2-5 Miles"
"Spring Valley","California","United States",372,21463,"Logan F Roberts","2-5 Miles"
"Langford","British Columbia","Canada",51,21464,"Miguel Griffin","10+ Miles"
"San Francisco","California","United States",360,21465,"Austin Shan","10+ Miles"
"Lake Oswego","Oregon","United States",542,21466,"Austin Jones","2-5 Miles"
"Port Orchard","Washington","United States",632,21467,"David C Harris","10+ Miles"
"Lincoln Acres","California","United States",336,21468,"Ethan L Yang","10+ Miles"
"El Cajon","California","United States",316,21469,"Caitlin C Bell","2-5 Miles"
"Chula Vista","California","United States",307,21470,"Stephanie Jenkins","2-5 Miles"
"Langford","British Columbia","Canada",51,21471,"Marcus l Carter","10+ Miles"
"Glendale","California","United States",325,21472,"Patrick J Ward","2-5 Miles"
"Burien","Washington","United States",612,21473,"Stacy S Rubio","2-5 Miles"
"Kirkland","Washington","United States",623,21474,"Lucas L Gray","10+ Miles"
"Daly City","California","United States",314,21475,"Cassidy Alexander","2-5 Miles"
"Downey","California","United States",315,21476,"Hunter Jenkins","2-5 Miles"
"Mill Valley","California","United States",339,21477,"Katelyn B Watson","10+ Miles"
"National City","California","United States",343,21478,"Abigail R Reed","2-5 Miles"
"San Diego","California","United States",359,21479,"Noah B Foster","2-5 Miles"
"Cliffside","British Columbia","Canada",49,21480,"Alfredo P Martin","2-5 Miles"
"Edmonds","Washington","United States",614,21481,"Jose R Diaz","10+ Miles"
"Lake Oswego","Oregon","United States",542,21482,"Haley M Flores","2-5 Miles"
"Seattle","Washington","United States",637,21483,"Michelle Bailey","2-5 Miles"
"Sedro Woolley","Washington","United States",638,21484,"Abigail E Coleman","2-5 Miles"
"Spokane","Washington","United States",641,21485,"Brandon C Clark","2-5 Miles"
"Burbank","California","United States",301,21486,"Suzanne Gao","10+ Miles"
"Novato","California","United States",347,21487,"Jacqueline R Ramirez","10+ Miles"
"San Diego","California","United States",359,21488,"Madison M Henderson","1-2 Miles"
"Cliffside","British Columbia","Canada",49,21489,"Neil L Gutierrez","2-5 Miles"
"Haney","British Columbia","Canada",50,21490,"Cole Ward","10+ Miles"
"Kirkland","Washington","United States",623,21491,"Joseph M Lewis","2-5 Miles"
"Daly City","California","United States",314,21492,"Robert Jai","10+ Miles"
"San Diego","California","United States",359,21493,"Carson Coleman","5-10 Miles"
"N. Vancouver","British Columbia","Canada",54,21494,"Kayla Gonzales","10+ Miles"
"Olympia","Washington","United States",631,21495,"James Hughes","10+ Miles"
"Beverly Hills","California","United States",300,21496,"Nichole Rai","10+ Miles"
"Chula Vista","California","United States",307,21497,"Patrick S Cox","10+ Miles"
"Coronado","California","United States",312,21498,"Cameron Wilson","10+ Miles"
"San Carlos","California","United States",358,21499,"Bailey L Ramirez","1-2 Miles"
"Tacoma","Washington","United States",642,21500,"Devin J Long","10+ Miles"
"Oak Bay","British Columbia","Canada",59,21501,"Deb Foster","10+ Miles"
"Grossmont","California","United States",326,21502,"Morgan Clark","10+ Miles"
"Lynnwood","Washington","United States",626,21503,"Melanie K Long","10+ Miles"
"Bremerton","Washington","United States",611,21504,"Chloe D Torres","2-5 Miles"
"Paris","Seine (Paris)","France",192,21505,"Ronald Gonzalez","5-10 Miles"
"Poing","Saarland","Germany",173,21506,"Randall Gutierrez","5-10 Miles"
"Billericay","England","United Kingdom",231,21507,"Hunter L Smith","5-10 Miles"
"Berks","England","United Kingdom",229,21508,"Suzanne Li","5-10 Miles"
"London","England","United Kingdom",247,21509,"Michele C Lopez","5-10 Miles"
"Bottrop","Nordrhein-Westfalen","Germany",155,21510,"Carol Perry","2-5 Miles"
"Peterborough","England","United Kingdom",265,21511,"Richard D Sanders","2-5 Miles"
"Billericay","England","United Kingdom",231,21512,"Emma I Russell","2-5 Miles"
"Paris","Seine (Paris)","France",197,21513,"Stacey Xu","10+ Miles"
"München","Hessen","Germany",134,21514,"Krystal A Zhu","10+ Miles"
"Bracknell","England","United Kingdom",233,21515,"Barbara Yuan","5-10 Miles"
"London","England","United Kingdom",246,21516,"Larry Serrano","5-10 Miles"
"London","England","United Kingdom",257,21517,"Gerald Subram","0-1 Miles"
"Paris","Seine (Paris)","France",197,21518,"Ruben M Madan","2-5 Miles"
"Werne","Nordrhein-Westfalen","Germany",162,21519,"Franklin Becker","10+ Miles"
"Gateshead","England","United Kingdom",238,21520,"Seth Baker","10+ Miles"
"Lille","Nord","France",187,21521,"Joanna Romero","2-5 Miles"
"Paris","Seine (Paris)","France",196,21522,"Morgan C Bryant","10+ Miles"
"Saarlouis","Saarland","Germany",175,21523,"Timothy L Green","5-10 Miles"
"Peterborough","England","United Kingdom",265,21524,"Faith V Wood","10+ Miles"
"Kirkby","England","United Kingdom",241,21525,"Victoria L Howard","10+ Miles"
"Offenbach","Saarland","Germany",172,21526,"Jonathon O Munoz","10+ Miles"
"Les Ulis","Essonne","France",211,21527,"Sergio Patel","10+ Miles"
"Paderborn","Hamburg","Germany",151,21528,"Jay J Moreno","0-1 Miles"
"Orleans","Loiret","France",183,21529,"Kristi L Martinez","10+ Miles"
"Saint Ouen","Loir et Cher","France",182,21530,"Toni Raman","2-5 Miles"
"Saint-Denis","Seine Saint Denis","France",223,21531,"Kari C Vance","10+ Miles"
"Saarlouis","Saarland","Germany",175,21532,"Sierra L Turner","10+ Miles"
"Puyallup","Washington","United States",633,21651,"Sean L Cooper","2-5 Miles"
"Milton Keynes","England","United Kingdom",259,21533,"Gilbert D Tang","0-1 Miles"
"London","England","United Kingdom",250,21534,"Warren F Rai","0-1 Miles"
"Roissy en Brie","Seine et Marne","France",206,21535,"Alfredo Sandberg","10+ Miles"
"Dresden","Hessen","Germany",128,21536,"Billy L Rubio","10+ Miles"
"Hamburg","Hamburg","Germany",147,21537,"Gloria M Navarro","2-5 Miles"
"Bobigny","Seine Saint Denis","France",220,21538,"Tara W Luo","5-10 Miles"
